Regex,String,Var,Lparen,Lparen_null,Rparen,Lsb,Rsb,Lcb,Rcb,Rcbplus,Alter,Concat,End,Assign,$,Program,Statement,Rvalue,Mid,Base,Alterop
11,10,4,21,22,R17,23,R17,24,R17,R17,R17,R17,R17,,R2,1,2,6,7,15,8
,,,,,,,,,,,,,,,R0,,,,,,
11,10,4,21,22,R17,23,R17,24,R17,R17,R17,R17,R17,,R2,3,2,6,7,15,8
R1,R1,R1,R1,R1,R1,R1,R1,R1,R1,R1,R1,R1,R1,R1,R1,,,,,,
,,,,,R10,,R10,,R10,R10,R10,R10,R10,5,,,,,,,
11,10,9,21,22,R17,23,R17,24,R17,R17,R17,R17,R17,,,,,16,7,15,8
,,,,,,,,,,,,25,,,,,,,,,
,,,,,R4,,R4,,R4,R4,18,R4,R4,,,,,,,,
11,10,9,21,22,R17,23,R17,24,R17,R17,R17,R17,R17,,,,,,,20,
R10,R10,R10,R10,R10,R10,R10,R10,R10,R10,R10,R10,R10,R10,R10,R10,,,,,,
R9,R9,R9,R9,R9,R9,R9,R9,R9,R9,R9,R9,R9,R9,R9,R9,,,,,,
,,,12,,,,,,,,,,,,,,,,,,
,13,,,,,,,,,,,,,,,,,,,,
,,,,,14,,,,,,,,,,,,,,,,
R11,R11,R11,R11,R11,R11,R11,R11,R11,R11,R11,R11,R11,R11,R11,R11,,,,,,
R7,R7,R7,R7,R7,R7,R7,R7,R7,R7,R7,R7,R7,R7,R7,R7,,,,,,
,,,,,,,,,,,,25,17,,,,,,,,
R3,R3,R3,R3,R3,R3,R3,R3,R3,R3,R3,R3,R3,R3,R3,R3,,,,,,
R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,,,,,,
,,,,,R5,,R5,,R5,R5,18,R5,R5,,,,,,,,
R8,R8,R8,R8,R8,R8,R8,R8,R8,R8,R8,R8,R8,R8,R8,R8,,,,,,
11,10,9,21,22,R17,23,R17,24,R17,R17,R17,R17,R17,,,,,26,7,15,8
11,10,9,21,22,R17,23,R17,24,R17,R17,R17,R17,R17,,,,,28,7,15,8
11,10,9,21,22,R18,23,R18,24,R17,R17,R17,R17,R17,,,,,30,7,15,8
11,10,9,21,22,R19,23,R19,24,R17,R17,R17,R17,R17,,,,,32,7,15,8
11,10,9,21,22,R19,23,R19,24,R17,R17,R17,R17,R17,,,,,,19,15,8
,,,,,27,,,,,,,25,,,,,,,,,
R12,R12,R12,R12,R12,R12,R12,R12,R12,R12,R12,R12,R12,R12,R12,R12,,,,,,
,,,,,29,,,,,,,25,,,,,,,,,
R13,R13,R13,R13,R13,R13,R13,R13,R13,R13,R13,R13,R13,R13,R13,R13,,,,,,
,,,,,,,31,,,,,25,,,,,,,,,
R14,R14,R14,R14,R14,R14,R14,R14,R14,R14,R14,R14,R14,R14,R14,R14,,,,,,
,,,,,,,,,34,33,,25,,,,,,,,,
R16,R16,R16,R16,R16,R16,R16,R16,R16,R16,R16,R16,R16,R16,R16,R16,,,,,,
R15,R15,R15,R15,R15,R15,R15,R15,R15,R15,R15,R15,R15,R15,R15,R15,,,,,,
